INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('1', '1', '24', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('2', '1', '22', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('3', '1', '21', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('4', '2', '1', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('5', '2', '18', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('6', '3', '38', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('7', '3', '7', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('8', '4', '3', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('9', '4', '12', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('10', '4', '1', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('11', '5', '43', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('12', '5', '22', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('13', '5', '27', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('14', '6', '22', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('15', '6', '37', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('16', '6', '49', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('17', '7', '18', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('18', '8', '9', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('19', '9', '11', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('20', '9', '49', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('21', '9', '47', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('22', '10', '49', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('23', '11', '2', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('24', '12', '13', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('25', '12', '11', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('26', '13', '5', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('27', '14', '15', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('28', '14', '27', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('29', '14', '24', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('30', '15', '21', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('31', '15', '29', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('32', '16', '24', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('33', '16', '34', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('34', '16', '2', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('35', '17', '12', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('36', '17', '18', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('37', '18', '28', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('38', '18', '27', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('39', '18', '9', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('40', '19', '18', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('41', '19', '22', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('42', '20', '10', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('43', '21', '16', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('44', '21', '41', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('45', '22', '35', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('46', '22', '47', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('47', '23', '31', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('48', '23', '50', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('49', '24', '48', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('50', '24', '6', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('51', '25', '3', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('52', '25', '19', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('53', '25', '33', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('54', '26', '8', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('55', '26', '6', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('56', '26', '33', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('57', '27', '5', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('58', '27', '28', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('59', '28', '28', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('60', '28', '9', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('61', '28', '43', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('62', '29', '29', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('63', '30', '35', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('64', '30', '38', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('65', '31', '25', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('66', '31', '25', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('67', '31', '26', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('68', '32', '31', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('69', '32', '48', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('70', '32', '11', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('71', '33', '45', '4');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('72', '33', '11', '5');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('73', '33', '30', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('74', '34', '49', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('75', '34', '23', '7');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('76', '34', '34', '3');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('77', '35', '34', '1');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('78', '36', '36', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('79', '36', '40', '6');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('80', '37', '29', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('81', '37', '32', '2');
INSERT INTO order_item (order_item_id, order_form_id, menu_item_id, order_item_quantity) VALUES ('82', '37', '27', '5');
